Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7DSAEUvxU8FajXtRloy8M0,"Flowers","Endless Summer Vacation","Miley Cyrus",2023-08-18,200600,86,,2023-11-29T12:16:00Z,"pop","Columbia",0.706,0.691,0,-4.775,1,0.0633,0.0584,0.0000699,0.0232,0.632,118.048,4
4OssqCixV2Xsxd43wMIQyS,"CARNIVAL","VULTURES 1","¥$,Kanye West,Ty Dolla $ign",2024-02-09,264324,81,,2024-12-04T12:15:00Z,"chicago rap,hip hop,rap,pop rap,r&b,southern hip hop,trap,trap soul","Ye",0.594,0.811,1,-5.746,1,0.159,0.189,0,0.339,0.311,148.144,4
3U5JVgI2x4rDyHGObzJfNf,"Unwritten","Unwritten","Natasha Bedingfield",2004-08-30,259333,84,,2024-12-04T12:15:00Z,"dance pop,pop,post-teen pop","Sony Music CG",0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,4
4KULAymBBJcPRpk1yO4dOG,"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan","Zach Bryan,Kacey Musgraves",2023-08-25,227195,85,,2024-12-04T12:15:00Z,"classic oklahoma country,classic texas country,contemporary country,country dawn","Warner Records",0.429,0.453,0,-7.746,1,0.0459,0.554,0.000002,0.102,0.155,77.639,4
5RqSsdzTNPX1uzkmlHCFvK,"QLONA","MAÑANA SERÁ BONITO (BICHOTA SEASON)","KAROL G,Peso Pluma",2023-08-10,172797,82,,2024-12-04T12:15:00Z,"reggaeton,reggaeton colombiano,urbano latino,corridos tumbados,sad sierreno","Bichota/Interscope Records",0.841,0.738,7,-7.455,0,0.307,0.52,0,0.0892,0.484,169.918,4
1bjeWoagtHmUKputLVyDxQ,"Saturn","Saturn","SZA",2024-02-22,186191,85,,2024-12-04T12:15:00Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.411,0.619,1,-6.834,1,0.0368,0.62,0,0.11,0.337,177.937,4
629DixmZGHc7ILtEntuiWE,"LUNCH","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,179586,85,,2024-12-04T12:15:00Z,"art pop,pop","Darkroom/Interscope Records",0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,4
2uXlHCUbq9OMUwx3hrk06o,"Riptide","Dream Your Life Away (Deluxe Edition)","Vance Joy",2014-08-05,204280,85,,2024-12-04T12:15:00Z,"folk-pop,modern rock","Atlantic Records",0.483,0.731,1,-6.696,1,0.0381,0.436,0,0.151,0.484,101.654,4
0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,87,,2023-11-29T12:16:00Z,"canadian contemporary r&b,canadian pop,pop","Republic Records",0.513,0.73,1,-5.94,1,0.0598,0.00143,0.0000954,0.0897,0.334,171.001,4
7iQXYTyuG13aoeHxGG28Nh,"PERRO NEGRO","nadie sabe lo que va a pasar mañana","Bad Bunny,Feid",2023-10-13,162767,85,,2024-12-04T12:15:00Z,"reggaeton,trap latino,urbano latino,colombian pop,pop reggaeton,reggaeton colombiano","Rimas Entertainment LLC",0.911,0.778,5,-2.248,1,0.262,0.0887,0.0000216,0.179,0.345,96.057,4
5aIVCx5tnk0ntmdiinnYvw,"Water","Water","Tyla",2023-07-28,200255,84,,2024-12-04T12:15:00Z,"","FAX Records/Epic",0.673,0.722,3,-3.495,0,0.0755,0.0856,0,0.137,0.519,117.187,4
